Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
16-02-2020,24-03-2020,Abettor present when offence is committed,Vipin Sanghi,Delhi,Section 114,1,37,12,
02-10-2018,20-04-2019,Application of foregoing sections to the Indian Marine Service,Maninder Singh Bhatti,Madhya Pradesh,Section 138A,4,200,5,
06-01-2018,11-01-2019,Causing miscarriage without woman’s consent,Prabhat Kumar Singh,Patna,Section 313,1,370,7,
03-07-2018,04-08-2018,House-trespass in order to commit offence punishable with imprisonment,Potlapalli Keshava Rao,Telangana,Section 451,3,32,7,
03-07-2017,13-10-2017,"Mischief by destroying, moving or rendering less useful a light-house or sea-mark",Atul Sharachchandra Chandurkar,Bombay,Section 433,4,102,5,
27-12-2019,08-11-2020,When such right extends to causing any harm other than death,S. M. Subramaniam,Madras,Section 104,4,317,13,
17-08-2017,29-09-2018,Punishment for wrongful restraint,Navneet Kumar,Jharkhand,Section 341,1,408,7,
25-05-2019,02-07-2020,Repealed,Sachin Shankar Magadum,Karnataka,Section 161-165A,3,404,17,
28-06-2019,10-10-2020,Escape from confinement or custody negligently suffered by public servant,Sathish Ninan,Kerala,Section 223,1,470,14,
06-08-2019,09-11-2020,Counterfeiting currency-notes or bank-notes,Rohit Arya,Madhya Pradesh,Section 489A,4,461,16,
14-08-2017,06-10-2018,Kidnapping or maiming a minor for purposes of begging,S. S. Sundar,Madras,Section 363A,2,418,3,
27-02-2019,14-06-2019,Limit of solitary confinement,Chillakur Sumalatha,Telangana,Section 74,2,107,9,
15-01-2017,06-05-2017,Mischief causing damage to the amount of fifty rupees,Mukund Govindrao Sewlikar,Bombay,Section 427,2,111,1,
25-06-2019,28-10-2019,Solitary confinement,Nani Tagia,Gauhati,Section 73,1,125,12,
27-09-2017,22-09-2018,"Having possession of document described in Section 466 or 467, knowing it to be forged and intending to use it as genuine",Subhasis Das Gupta,Calcutta,Section 474,4,360,2,
06-02-2017,21-05-2018,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act",Rajendra Kumar - IV,Allahabad,Section 329,4,469,4,
19-09-2019,24-12-2019,Habitually dealing in stolen property,Anup Jairam Bhambhani,Delhi,Section 413,2,96,15,
16-12-2019,13-01-2020,Disobedience to order duly promulgated by public servant,Amit Bhalchandra Borkar,Bombay,Section 188,3,28,16,
17-10-2017,09-06-2018,Act causing slight harm,Gopinath Puzhankara,Kerala,Section 95,4,235,3,
03-09-2017,28-06-2018,Unlawfully taking coining instrument from mint,Sureshwar Thakur,Punjab and Haryana,Section 245,5,298,8,
24-01-2018,29-10-2018,Punishment for false evidence,Naresh Kumar Chandravanshi,Chhattisgarh,Section 193,1,278,6,
06-08-2017,13-01-2018,"Abetment of such assault, if the assault is committed",Ravi Cheemalapati,Andhra Pradesh,Section 134,2,160,4,
11-08-2019,13-01-2020,"Abetment of act of insubordination by soldier, sailor or airman",Samit Gopal,Allahabad,Section 138,5,155,10,
29-03-2019,01-05-2019,Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden,Bhargav Dhirenbhai Karia,Gujarat,Section 437,3,33,6,
28-06-2017,23-10-2018,Stolen Property,Sujit Narayan Prasad,Jharkhand,Section 410,2,482,6,
25-02-2020,02-04-2021,Every member of unlawful assembly guilty of offence committed in prosecution of common object,Mahabir Singh Sindhu,Punjab and Haryana,Section 149,1,402,14,
05-06-2017,23-06-2018,Malignant act likely to spread infection of disease dangerous to life,Siddharth Mridul,Delhi,Section 270,4,383,4,
24-08-2019,14-01-2020,Housing breaking,Nisha Mahendrabhai Thakore,Gujarat,Section 445,3,143,8,
09-09-2017,10-12-2018,Extortion by putting a person in fear of death or grievous hurt,Ananthi Subramanian,Madras,Section 386,4,457,8,
17-05-2019,19-03-2020,Negligent act likely to spread infection of disease dangerous to life,Pranay Verma,Madhya Pradesh,Section 269,5,307,16,
10-02-2019,31-03-2019,Abettor,Anil Satyavijay Kilor,Bombay,Section 108,5,49,7,
28-09-2017,18-10-2017,Malignant act likely to spread infection of disease dangerous to life,M. Duraiswamy,Madras,Section 270,4,20,1,
26-05-2017,04-09-2017,"House-trespass after preparation for hurt, assault or wrongful restraint",Vedavyasachar Srishananda,Karnataka,Section 452,3,101,1,
27-04-2018,31-07-2019,Possession of forged or counterfeit currency-notes or bank-notes,Manish Kumar,Allahabad,Section 489C,2,460,10,
30-01-2019,16-12-2019,"Possession of instrument, or material for the purpose of using the same for counterfeiting coin",Ajay Bhanot,Allahabad,Section 235,4,320,13,
02-04-2019,01-11-2019,"Effacing, writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government",Anuja Prabhu Dessai,Bombay,Section 261,2,213,5,
27-03-2019,05-06-2020,Criminal breach of trust by clerk or servant,Sanjay V. Gangapurwala,Bombay,Section 408,1,436,14,
26-09-2019,27-10-2019,Falsification of accounts,Khazi Jayabunnisa Mohiuddin,Karnataka,Section 477A,1,31,12,
02-10-2017,06-01-2019,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse,Ajit Singh,Allahabad,Section 151,3,461,5,
21-06-2017,13-08-2018,Punishment of criminal conspiracy,Vivek Kumar Singh,Allahabad,Section 120B,1,418,2,
01-02-2020,17-08-2020,"Mischief by injury to public road, bridge, river or channel",Anoop Chitkara,Punjab and Haryana,Section 431,3,198,22,
15-01-2020,05-09-2020,Mischief committed after preparation made for causing death or hurt,Chander Bhusan,Himachal Pradesh,Section 440,1,234,16,
26-06-2017,08-06-2018,Sale of noxious food or drink,Dinesh Kumar Sharma,Delhi,Section 273,1,347,2,
15-01-2019,04-06-2019,Waging war against any Asiatic Power in alliance with the Government of India,Hitesh Kumar Sarma,Gauhati,Section 125,1,140,11,
19-01-2017,24-11-2017,Destruction of document or electronic record to prevent its production as sevidence,Kanneganti Lalithakumari,Andhra Pradesh,Section 204,4,309,2,
28-05-2018,16-03-2019,When such right extends to causing any harm other than death,Suvir Sehgal,Punjab and Haryana,Section 101,4,292,16,
23-05-2017,14-08-2017,Habitual dealing in slaves,Kaushal Jayendra Thaker,Allahabad,Section 371,2,83,1,
27-06-2018,04-04-2019,Possession of Indian coin by person who knew it to be altered when he became possessed thereof,Arindam Mukherjee,Calcutta,Section 253,4,281,7,
28-08-2019,09-08-2020,Persons subject to certain Acts,Dixit Krishna Shripad,Karnataka,Section 139,4,347,14,
17-09-2019,12-05-2020,Using as genuine a Government stamp known to be a counterfeit,Gita Gopi,Gujarat,Section 260,2,238,10,
15-01-2019,24-07-2019,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse,Paresh Ravishankar Upadhyay,Madras,Section 151,2,190,8,
25-12-2019,21-04-2021,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation,Shriram Kalpathi Rajendran,Bombay,Section 181,5,483,15,
17-08-2019,18-03-2020,Destruction of document or electronic record to prevent its production as sevidence,N. Sathish Kumar,Madras,Section 204,1,214,13,
25-01-2018,05-05-2018,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment,Sandeep Mehta,Rajasthan,Section511,4,100,8,
08-06-2019,22-11-2019,"Public servant in judicial proceeding corruptly making report, etc, contrary to law",S. Muralidhar (CJ),Orissa,Section 219,4,167,14,
11-05-2017,29-07-2017,"Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material",Anand Pathak,Madhya Pradesh,Section 476,1,79,1,
09-01-2018,10-08-2018,Escape from confinement or custody negligently suffered by public servant,Nawneet Kumar Pandey,Patna,Section 223,5,213,7,
04-04-2018,13-04-2019,"Collecting arms, etc, with intention of waging war against the Government of India",Shircy V.,Kerala,Section 122,3,374,7,
12-03-2020,24-10-2020,"Public servant disobeying law, with intent to cause injury to any person",Dr. Shiva Nand Pathak,Jharkhand,Section 166,3,226,14,
02-03-2019,12-05-2019,Mischief committed after preparation made for causing death or hurt,Augustine George Masih,Punjab and Haryana,Section 440,2,71,10,
31-01-2017,19-08-2017,Public servant farming an incorrect document with intent to cause injury,Subodh Abhyankar,Madhya Pradesh,Section 167,1,200,2,
07-12-2017,11-06-2018,Threat of injury to induce person to refrain from applying for protection to public servant,Biswanath Somadder (CJ),Sikkim,Section 190,1,186,5,
22-08-2018,22-05-2019,Personation at elections,Chakradhari Sharan Singh,Patna,Section 171D,4,273,4,
03-12-2017,26-02-2018,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment,Pushpa Sathyanarayana,Madras,Section511,5,85,2,
04-08-2017,31-07-2018,House-trespass in order to commit offence punishable with death,Michael Zothankhuma,Gauhati,Section 449,4,361,4,
06-06-2018,24-07-2019,Counterfeiting currency-notes or bank-notes,Pankaj Bhatia,Allahabad,Section 489A,3,413,12,
05-09-2018,24-06-2019,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,Abhinand Kumar Shavili,Telangana,Section 495,5,292,6,
12-01-2019,22-01-2020,Making a false mark upon any receptacle containing goods,Suraj Govindaraj,Karnataka,Section 487,4,375,9,
04-09-2019,13-10-2019,Abetment of suicide of child or insane person,Avachat Rajendra Govind,Bombay,Section 305,4,39,13,
08-06-2018,01-01-2019,Attempt to commit robbery,Ravi Ranjan (CJ),Jharkhand,Section 393,1,207,5,
18-02-2020,17-05-2021,"Word, gesture or act intended to insult the modesty of a woman",Manoj Kumar Vyas,Rajasthan,Section 509,3,454,16,
04-09-2019,04-06-2020,Assault or criminal force on grave provocation,Rajbeer Singh,Allahabad,Section 358,5,274,12,
23-01-2018,12-04-2018,"Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material",Bivas Pattanayak,Calcutta,Section 476,4,79,2,
10-02-2017,23-10-2017,"Abetment of desertion of soldier, sailor or airman",Guhanathan Narendar,Karnataka,Section 135,1,255,2,
04-01-2017,27-07-2017,Act against which there is no right of private defence,Syed Aftab Husain Rizvi,Allahabad,Section 99,4,204,1,
22-02-2020,15-04-2021,Attempt to commit robbery,Sanjib Banerjee (CJ),Meghalaya,Section 393,4,418,17,
30-01-2020,20-11-2020,"Trespassing on burial places, etc",Ashwani Kumar Singh,Patna,Section 297,5,295,11,
04-11-2018,13-03-2020,"Act done by a person bound, or by mistake of fact believing himself bound, by law",Chandrasekharan Kartha Jayachandran,Kerala,Section 76,2,495,14,
12-09-2018,17-01-2019,"Deliberate and malicious acts, intended to outrage religious feelings or any class by insulting its religion or religious beliefs",Subhasis Talapatra,Tripura,Section 295A,1,127,10,
14-06-2017,16-01-2018,Receiving Property taken by war on depredation mention in Sections 125 and 126,Salil Kumar Rai,Allahabad,Section 127,3,216,1,
25-02-2020,30-06-2021,"Mischief by injury to public road, bridge, river or channel",N. Nirmal Kumar,Madras,Section 431,4,491,14,
21-12-2019,17-08-2020,Printing or engraving matter known to be defamatory,Kanneganti Lalithakumari,Andhra Pradesh,Section 501,2,240,12,
22-11-2018,02-01-2019,Selling goods marked with a counterfeit property mark,Sureshwar Thakur,Punjab and Haryana,Section 486,5,41,11,
11-02-2017,22-04-2018,Punished for mischief,Gurijala Radha Rani,Telangana,Section 426,5,435,5,
20-02-2019,17-04-2019,Punished for mischief,Abdul Quddhose,Madras,Section 426,4,56,9,
28-02-2019,15-05-2020,Punishment of abetment if person abetted does act with different intention from that of abettor,Michael Zothankhuma,Gauhati,Section 110,1,442,9,
01-01-2019,20-12-2019,Grievous hurt,Amit Bansal,Delhi,Section 320,3,353,15,
24-03-2017,01-12-2017,When the right of private defence of the body extends to causing death,Kempaiah Somashekar,Karnataka,Section 100,3,252,1,
19-09-2019,07-01-2021,Issuing or signing false certificate,Sujit Narayan Prasad,Jharkhand,Section 197,4,476,13,
27-11-2019,17-11-2020,Intentional insult with intent to provoke breach of the peace,Rajasekhar Mantha,Calcutta,Section 504,3,356,13,
21-01-2018,19-08-2018,Persons subject to certain Acts,D. Krishnakumar,Madras,Section 139,3,210,5,
12-03-2017,10-11-2017,Fractions of terms of punishment,Anup Jairam Bhambhani,Delhi,Section 57,2,243,3,
28-06-2019,01-08-2019,"Fine levied within six years, or during imprisonment- Death not to discharge property from liability",Devan Ramachandran,Kerala,Section 70,4,34,11,
07-07-2018,01-11-2019,Making a false document,Jyoti Mulimani,Karnataka,Section 464,3,482,13,
03-02-2018,13-04-2019,Intercourse by any member of the management or staff of a hospital with any woman in that hospital,C. V. Karthikeyan,Madras,Section 376D,3,434,14,
31-12-2017,11-03-2019,Being member of unlawful assembly,Kotravva Somappa Mudagal,Karnataka,Section 142,3,435,8,
07-05-2019,29-10-2019,Sale of adulterated drugs,Gita Gopi,Gujarat,Section 275,5,175,9,
18-02-2018,21-04-2018,Mischief,Shaji Paul Chaly,Kerala,Section 425,2,62,2,
30-05-2019,14-07-2019,Concealing design to commit offence punishable with imprisonment,Potlapalli Keshava Rao,Telangana,Section 120,4,45,13,
26-12-2018,05-10-2019,Escape from confinement or custody negligently suffered by public servant,Nandita Dubey,Madhya Pradesh,Section 223,4,283,10,
30-03-2020,18-06-2020,Threat of injury to public servant,N. Kotiswar Singh,Gauhati,Section 189,2,80,15,
15-04-2019,21-09-2019,Abetment of suicide,Chandrasekharan Kartha Jayachandran,Kerala,Section 306,4,159,8,
04-07-2019,07-05-2020,"Wearing garb or carrying token used by soldier, sailor or airman",Anil Laxman Pansare,Bombay,Section 140,5,308,12,
26-03-2017,20-06-2017,Refusing to answer public servant authorised to question,Anubha Rawat Choudhary,Jharkhand,Section 179,4,86,2,
12-02-2019,27-05-2019,House-trespass in order to commit offence punishable with imprisonment,Vikram D Chauhan,Allahabad,Section 451,2,104,8,
14-03-2020,26-12-2020,Being in possession of false weight or measure,Arun Palli,Punjab and Haryana,Section 266,3,287,15,
27-06-2019,14-10-2019,"Abetment of desertion of soldier, sailor or airman",J. Sathya Narayana Prasad,Madras,Section 135,5,109,7,
16-08-2019,15-01-2020,"Act done by a person justified, or by mistake of fact believing himself justified, by law",V. G. Arun,Kerala,Section 79,2,152,11,
11-11-2017,15-12-2018,Punishment for same offence when committed by person entrusted with custody,Subhasis Das Gupta,Calcutta,Section 462,3,399,4,
10-01-2020,23-06-2020,Criminal intimidation by an anonymous communication,Panjigadde Krishna Bhat,Karnataka,Section 507,1,165,8,
25-08-2019,28-04-2020,Concealing design to commit offence punishable with death or imprisonment for life,Jamshed Burjor Pardiwala,Gujarat,Section 118,2,247,12,
02-08-2019,01-10-2020,Issuing or signing false certificate,Dr. Hosur Bhujangaraya Prabhakara Sastry,Karnataka,Section 197,2,426,14,
28-08-2017,27-11-2018,House trespass,Bawa Singh Walia,Punjab and Haryana,Section 442,3,456,4,
21-01-2017,08-10-2017,Failure by person released on bail or bond to appear in Court,Archana Puri,Punjab and Haryana,Section 229A,4,260,3,
25-10-2017,06-07-2018,Disclosure of identity of the victim of certain offences etc,Jaspreet Singh,Allahabad,Section 228A,3,254,3,
30-03-2019,01-02-2020,Cheating and dishonestly inducing delivery of property,Vinod Chatterji Koul,Jammu & Kashmir and Ladakh,Section 420,4,308,12,
27-04-2018,24-11-2018,"Selling minor for purposes of prostitution, etc",Rajendra Kumar (Verma),Madhya Pradesh,Section 372,5,211,6,
26-05-2017,17-05-2018,Coin defined,Manoj Kumar Vyas,Rajasthan,Section 230,2,356,4,
12-02-2018,23-08-2018,"Sale, etc, or obscene books, etc",R. M. T. Teeka Raman,Madras,Section 292,3,192,5,
04-01-2017,29-05-2017,Theft,Ajay Tewari,Punjab and Haryana,Section 378,3,145,1,
07-05-2017,25-06-2017,Hurt,Ramakrishna Devdas,Karnataka,Section 319,1,49,1,
15-12-2019,27-04-2021,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors,Moushumi Bhattacharya,Calcutta,Section 421,1,499,14,
29-08-2018,28-02-2019,Persons subject to certain Acts,Khazi Jayabunnisa Mohiuddin,Karnataka,Section 139,3,183,7,
17-08-2019,24-11-2019,Importation of girl from foreign country,Ravi Krishan Kapur,Calcutta,Section 366B,3,99,16,
04-03-2019,13-03-2020,Attempt to commit robbery,Ponugoti Naveen Rao,Telangana,Section 393,1,375,10,
27-02-2018,27-02-2019,Amount of fine,Rohit Arya,Madhya Pradesh,Section 63,2,365,6,
04-08-2017,03-12-2018,Punishment for criminal trespass,Puneet Gupta,Jammu & Kashmir and Ladakh,Section 447,5,486,6,
21-11-2017,17-01-2019,"Forfeiture of property, in respect of offenders punishable with death, transportation or imprisonment",Arvind Srivastava,Patna,Section 62,3,422,8,
21-06-2019,10-02-2020,Dacoity with murder,Krishna Rao,Calcutta,Section 396,5,234,13,
25-06-2017,23-03-2018,Punishment for murder by life-convict,Hethur Puttaswamygowda Sandesh,Karnataka,Section 303,2,271,3,
11-03-2018,01-06-2019,Fraudulently obtaining decree for sum not due,Lanusungkum Jamir,Manipur,Section 210,1,447,8,
25-09-2017,14-03-2018,Failure to keep election accounts,Dr Yogendra Kumar Srivastava,Allahabad,Section 171I,1,170,3,
13-01-2020,22-05-2020,Intentional insult with intent to provoke breach of the peace,Ramesh Deokinandan Dhanuka,Bombay,Section 504,5,130,11,
10-04-2017,27-02-2018,Possession of coin by person who knew it to be altered when he became possessed thereof,Siddharth,Allahabad,Section 252,4,323,2,
29-08-2017,04-02-2018,"Voluntarily causing hurt to extort property, or to constrain to an illegal act",Sarasa Venkatanarayana Bhatti,Kerala,Section 327,1,159,6,
18-08-2019,13-07-2020,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc",Parth Prateem Sahu,Chhattisgarh,Section 367,4,330,15,
19-07-2019,29-07-2020,"Fraudulent cancellation, destruction, etc, of will, authority to adopt, or valuable security",Ravindra Maithani,Uttarakhand,Section 477,1,376,10,
22-05-2018,09-11-2018,Forgery for purpose of cheating,Ajit Borthakur,Gauhati,Section 468,4,171,5,
26-10-2019,05-03-2020,Importation of girl from foreign country,Nani Tagia,Gauhati,Section 366B,4,131,14,
12-10-2019,16-06-2020,Coin defined,Bharati Harish Dangre,Bombay,Section 230,4,248,10,
16-04-2018,11-08-2018,Failure to keep election accounts,Ghandikota Sri Devi,Telangana,Section 171I,4,117,5,
09-10-2019,15-08-2020,Owner or occupier of land on which an unlawful assembly is held,Sunil Kumar Panwar,Patna,Section 154,5,311,8,
04-05-2017,16-01-2018,House-trespass in order to commit offence punishable with death,Samit Gopal,Allahabad,Section 449,2,257,4,
23-09-2017,01-11-2018,Owner or occupier of land on which an unlawful assembly is held,Sreenivas Harish Kumar,Karnataka,Section 154,3,404,6,
21-12-2019,30-01-2020,Resistance to the taking of property by the lawful authority of a public servant,Chitta Ranjan Dash,Orissa,Section 183,5,40,17,
23-04-2017,30-10-2017,Illegal payments in connection with an election,Sharad Kumar Sharma,Uttarakhand,Section 171H,1,190,1,
10-12-2018,24-11-2019,Rash driving or riding on a public way,Ghandikota Sri Devi,Telangana,Section 279,2,349,14,
19-08-2018,22-11-2018,Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees,Tirthankar Ghosh,Calcutta,Section 435,1,95,6,
11-02-2017,02-04-2018,Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed,Ananda Sen,Jharkhand,Section 153,1,415,3,
31-08-2017,29-05-2018,Abettor,Sandeep Sharma,Himachal Pradesh,Section 108,3,271,7,
30-03-2019,11-04-2020,"Putting person in fear of accusation of offence, in order to commit extortion",Sanjay Kumar Pachori,Allahabad,Section 389,1,378,13,
19-06-2019,02-08-2019,Fraudulently obtaining decree for sum not due,Manash Ranjan Pathak,Gauhati,Section 210,1,44,4,
13-07-2019,07-08-2019,Sale of noxious food or drink,Naresh Kumar Chandravanshi,Chhattisgarh,Section 273,3,25,10,
13-05-2017,06-07-2017,Personation at elections,Nani Tagia,Gauhati,Section 171D,1,54,1,
16-10-2018,12-07-2019,Attempt to commit suicide,Rajeev Misra,Allahabad,Section 309,1,269,10,
14-03-2020,21-12-2020,Commencement and continuance of the right of private defence of property,Gautam Kumar Choudhary,Jharkhand,Section 105,5,282,8,
18-02-2019,31-12-2019,Punishment for lurking house-trespass or house-breaking,Gurmeet Singh Sandhawalia,Punjab and Haryana,Section 453,5,316,9,
25-01-2017,20-01-2018,Counterfeiting Government stamp,Addula Venkateshwara Reddy,Telangana,Section 255,5,360,4,
26-01-2020,18-03-2020,Description of imprisonment for non-payment of fine,Maralur Indrakumar Arun,Karnataka,Section 66,4,52,8,
06-04-2019,30-05-2020,Forged document or electronic record,D. Krishnakumar,Madras,Section 470,2,420,14,
02-08-2018,10-09-2018,"Definition of “harbour” in sections 212, 216 and 216A",Sanjeev Sachdeva,Delhi,Section 216B,4,39,10,
19-05-2019,29-06-2019,"Fine levied within six years, or during imprisonment- Death not to discharge property from liability",Nilay Vipinchandra Anjari,Gujarat,Section 70,2,41,7,
07-08-2019,02-12-2020,Punished for mischief,Ashwani Kumar Singh,Patna,Section 426,5,483,12,
31-12-2018,03-06-2019,Kidnapping or maiming a minor for purposes of begging,Arun Palli,Punjab and Haryana,Section 363A,5,154,6,
05-10-2017,19-04-2018,Joining unlawful assembly armed with deadly weapon,Navneet Kumar,Jharkhand,Section 144,1,196,3,
29-08-2018,18-11-2019,"Delivery of coin, possessed with knowledge that it is counterfeit",Anant Ramanath Hegde,Karnataka,Section 239,3,446,11,
03-03-2020,08-07-2020,"Causing hurt by means of poison, etc, with intent to commit an offence",Sanjeev Sachdeva,Delhi,Section 328,3,127,20,
27-06-2017,14-10-2018,Illegal purchase or bid for property offered for sale by authority of public servant,Tashi Rabstan,Jammu & Kashmir and Ladakh,Section 185,4,474,7,
17-08-2019,06-05-2020,Destruction of document or electronic record to prevent its production as sevidence,Panzhayanur Narayanan Prakash,Madras,Section 204,5,263,15,
30-08-2017,14-10-2018,Description of imprisonment for non-payment of fine,C. Saravanan,Madras,Section 66,3,410,3,
06-05-2017,19-08-2017,Attempt to murder,Kannakuzhyil Sreedharan Hemalekha,Karnataka,Section 307,1,105,1,
28-11-2018,02-04-2019,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty",Munnuri Laxman,Telangana,Section 131,5,125,5,
18-07-2017,21-10-2018,Abetting commission of offence by the public or by more than ten persons,Devan Ramachandran,Kerala,Section 117,2,460,6,
02-02-2018,05-04-2019,Assisting in concealment of stolen property,Sureshwar Thakur,Punjab and Haryana,Section 414,5,427,12,
23-11-2018,03-06-2019,Offering gift or restoration of property in consideration of screening offender,Augustine George Masih,Punjab and Haryana,Section 214,3,192,12,
03-08-2018,24-11-2018,Negligent conduct with respect to pulling down or repairing buildings,Dinesh Kumar Sharma,Delhi,Section 288,5,113,3,
09-09-2018,26-10-2018,Causing miscarriage without woman’s consent,Chandrasekharan Sudha,Kerala,Section 313,2,47,6,
24-02-2019,28-08-2019,House-trespass in order to commit offence punishable with imprisonment for life,Vedavyasachar Srishananda,Karnataka,Section 450,3,185,6,
10-02-2019,06-08-2019,Criminal intimidation,Ananthi Subramanian,Madras,Section 503,1,177,11,
25-06-2017,11-07-2018,"Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint",Anil Kolavampara Narendran,Kerala,Section 455,1,381,4,
22-03-2020,10-05-2021,Having possession of counterfeit Government stamp,S. Muralidhar (CJ),Orissa,Section 259,5,414,19,
13-04-2020,20-05-2020,Assault or criminal force to woman with intent to outrage her modesty,Gannamaneni Ramakrishna Prasad,Andhra Pradesh,Section 354,1,37,13,
01-04-2020,22-03-2021,Commutation of sentence of death,Arindam Lodh,Tripura,Section 54,5,355,10,
12-12-2019,04-02-2021,Acid Attack,Dr. Ashutosh Pushkerray Thaker,Gujarat,Section 326A,1,420,18,
19-08-2019,09-12-2019,Failure by person released on bail or bond to appear in Court,Ajoy Kumar Mukherjee,Calcutta,Section 229A,5,112,9,
18-12-2019,13-08-2020,Making or selling instrument for counterfeiting Government stamp,C. V. Karthikeyan,Madras,Section 257,4,239,18,
14-02-2019,18-01-2020,Punishment for assault or criminal force otherwise than on grave provocation,Krishan Pahal,Allahabad,Section 352,5,338,10,
20-02-2020,13-12-2020,Public servant concealing design to commit offence which it is his duty to prevent,Meenakshi I. Mehta,Punjab and Haryana,Section 119,1,297,21,
24-03-2019,19-07-2020,Negligent conduct with respect to machinery,Marli Vankung,Gauhati,Section 287,2,483,13,
10-06-2019,27-11-2019,Personating a public servant,Dinesh Kumar Singh,Allahabad,Section 170,5,170,6,
19-01-2017,06-09-2017,House-trespass in order to commit offence punishable with imprisonment for life,Chandrasekharan Kartha Jayachandran,Kerala,Section 450,3,230,3,
25-02-2019,26-12-2019,Abettor when liable to cumulative punishment for act abetted and for act done,Soumen Sen,Calcutta,Section 112,4,304,14,
09-08-2018,21-12-2018,Wrongful confinement for three or more days,Abhijit Gangopadhyay,Calcutta,Section 343,2,134,6,
02-11-2017,07-07-2018,Counterfeiting Indian coin,Puneet Gupta,Jammu & Kashmir and Ladakh,Section 232,1,247,5,
12-01-2017,14-03-2018,Using Government stamp known to have been before used,Rajeev Ranjan Prasad,Patna,Section 262,2,426,1,
24-03-2020,20-03-2021,Sale of printed or engraved substance containing defamatory matter,Om Prakash,Allahabad,Section 502,4,361,7,
21-04-2019,20-07-2019,Escape from confinement or custody negligently suffered by public servant,Javed Iqbal Wani,Jammu & Kashmir and Ladakh,Section 223,5,90,12,
12-12-2019,14-06-2020,Omission to give notice or information to public servant by person legally bound to give it,Chillakur Sumalatha,Telangana,Section 176,3,185,12,
07-07-2017,18-04-2018,When such right extends to causing any harm other than death,Krishnan Ramasmy,Madras,Section 101,5,285,4,
08-02-2019,03-05-2019,Property mark,Nitin Rudrasen Borkar,Bombay,Section 479,5,84,6,
07-02-2020,25-05-2020,Punishment for lurking house-trespass or house-breaking,Samit Gopal,Allahabad,Section 453,3,108,14,
05-12-2017,17-08-2018,"Sale, etc, or obscene books, etc",Parth Prateem Sahu,Chhattisgarh,Section 292,5,255,4,
22-10-2019,07-02-2021,Affray,Pankaj Mithal (CJ),Jammu & Kashmir and Ladakh,Section 159,5,474,8,
18-03-2017,20-11-2017,Harbouring deserter,Nani Tagia,Gauhati,Section 136,1,247,3,
03-01-2019,18-02-2019,Fraudulently or dishonestly diminishing weight or altering composition of Indian coin,Hanchate Sanjeev Kumar,Karnataka,Section 247,5,46,7,
09-02-2019,18-05-2020,Import or export of counterfeit coin,Ashutosh Jayantilal Shastri,Gujarat,Section 237,3,464,12,
06-04-2020,11-06-2021,Limit of punishment of offence made up of several offences,Brij Raj Singh,Allahabad,Section 71,1,431,16,
10-03-2020,22-01-2021,Adulteration of food or drink intended for sale,Mohd. Aslam,Allahabad,Section 272,3,318,14,
27-10-2019,28-11-2019,Falsification of accounts,Bopuddi Krishna Mohan,Andhra Pradesh,Section 477A,1,32,10,
03-05-2018,23-11-2018,Making atmosphere noxious to health,Shekhar Kumar Yadav,Allahabad,Section 278,1,204,5,
30-03-2018,23-04-2018,Sale of adulterated drugs,Vishal Mishra,Madhya Pradesh,Section 275,4,24,4,
07-03-2020,13-06-2021,Fractions of terms of punishment,Saurabh Shyam Shamsherry,Allahabad,Section 57,1,463,13,
01-02-2020,20-04-2021,Abetment of suicide of child or insane person,Sunil Thomas,Kerala,Section 305,2,444,12,
21-12-2017,01-02-2018,"Criminal breach of trust by public servant, or by banker, merchant or agent",Panjigadde Krishna Bhat,Karnataka,Section 409,1,42,1,
04-02-2017,05-03-2017,"Kidnapping for ransom, etc",V. Narasingh,Orissa,Section 364A,4,29,1,
23-10-2018,17-04-2019,Punishment for murder,M. S. Ramachandra Rao,Punjab and Haryana,Section 302,3,176,13,
24-09-2017,14-05-2018,"Act done by a person justified, or by mistake of fact believing himself justified, by law",Sashikanta Mishra,Orissa,Section 79,5,232,3,
02-08-2019,22-09-2019,Negligent conduct with respect to explosive substance,Shircy V.,Kerala,Section 286,1,51,8,
